GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P012001,P012001.2000,P012002,P012002.2000,P012003,P012003.2000,P012004,P012004.2000,P012005,P012005.2000,P012006,P012006.2000,P012007,P012007.2000,P012008,P012008.2000,P012009,P012009.2000,P012010,P012010.2000,P012011,P012011.2000,P012012,P012012.2000,P012013,P012013.2000,P012014,P012014.2000,P012015,P012015.2000,P012016,P012016.2000,P012017,P012017.2000,P012018,P012018.2000,P012019,P012019.2000,P012020,P012020.2000,P012021,P012021.2000,P012022,P012022.2000,P012023,P012023.2000,P012024,P012024.2000,P012025,P012025.2000,P012026,P012026.2000,P012027,P012027.2000,P012028,P012028.2000,P012029,P012029.2000,P012030,P012030.2000,P012031,P012031.2000,P012032,P012032.2000,P012033,P012033.2000,P012034,P012034.2000,P012035,P012035.2000,P012036,P012036.2000,P012037,P012037.2000,P012038,P012038.2000,P012039,P012039.2000,P012040,P012040.2000,P012041,P012041.2000,P012042,P012042.2000,P012043,P012043.2000,P012044,P012044.2000,P012045,P012045.2000,P012046,P012046.2000,P012047,P012047.2000,P012048,P012048.2000,P012049,P012049.2000
42051,050,42,051,38300,430,,,Fayette County,136606,62773,148644,66490,136606,148644,67007,71136,3472,4334,3764,4814,4094,5192,2795,3123,1582,1789,758,878,798,755,2357,2345,3856,4243,3898,4684,4262,4993,4711,5859,5037,5747,5563,4910,5378,3831,1923,1289,2538,1813,1306,1134,1959,1702,2400,2876,1846,2455,1518,1492,1192,878,69599,77508,3338,4120,3666,4570,4042,4682,2509,2899,1496,1735,691,806,666,798,2087,2412,3618,4374,3644,4887,4217,5466,4609,5919,5070,5718,5600,5026,5372,4100,1926,1472,2689,2131,1465,1359,2148,2235,2922,4135,2571,3637,2583,2708,2670,2319
42053,050,42,053,99999,999,,,Forest County,7716,8760,4946,8701,7716,4946,5164,2604,87,88,103,129,123,170,233,283,132,110,61,16,114,20,391,48,618,81,470,140,382,167,349,174,418,188,328,170,331,163,99,77,171,113,119,59,160,88,199,128,133,100,84,64,59,28,2552,2342,95,90,107,120,122,144,87,97,46,43,16,13,9,14,50,29,90,110,91,112,141,166,146,170,188,161,220,170,242,199,95,76,143,110,105,55,133,88,168,127,103,110,81,83,74,55
42055,050,42,055,16540,999,,,Franklin County,149618,63219,129313,53803,149618,129313,73184,62915,5110,4053,4887,4486,4997,4519,3279,2807,2048,1609,823,773,701,671,2343,2007,4298,4115,4210,4357,4869,4894,5049,4865,5452,4615,5248,4208,4792,3441,1720,1126,2581,1657,1486,1073,1954,1570,2618,2336,2060,1796,1521,1173,1138,764,76434,66398,4837,4034,4747,4191,4926,4383,2957,2579,1856,1665,876,748,850,704,2461,2103,4389,4008,4374,4359,4728,4905,5014,5026,5479,4669,5459,4276,5062,3675,1842,1222,2675,1812,1681,1113,2261,1764,2932,2904,2542,2687,2203,1883,2283,1688
42057,050,42,057,99999,999,,,Fulton County,14845,7122,14261,6790,14845,14261,7471,7133,485,448,440,493,523,535,334,319,171,187,75,94,76,74,218,226,387,467,413,486,511,543,566,591,572,464,571,462,472,476,180,131,296,218,179,127,250,197,305,251,228,171,132,106,87,67,7374,7128,431,450,464,470,473,519,281,273,164,138,71,50,71,85,217,224,372,455,410,454,480,525,486,524,547,484,532,498,512,426,221,186,279,218,189,130,236,161,359,326,237,223,198,169,144,140
42061,050,42,061,26500,999,,,Huntingdon County,45913,22365,45586,21058,45913,45586,24278,23842,1274,1302,1218,1350,1370,1542,881,939,687,690,406,418,301,373,937,1080,1606,1826,1732,1913,1746,2037,1826,1913,1933,1720,1801,1673,1630,1250,679,438,910,594,512,379,640,513,835,824,644,542,419,318,291,208,21635,21744,1223,1179,1231,1262,1286,1436,761,883,728,666,366,379,304,313,726,680,1022,1250,1114,1349,1247,1508,1337,1591,1553,1569,1632,1427,1570,1239,580,427,838,622,495,403,690,633,934,1012,769,779,681,587,548,550
42063,050,42,063,26860,999,,,Indiana County,88880,38236,89605,37250,88880,89605,44200,43422,2275,2308,2367,2630,2414,2900,1549,1954,2710,2092,1460,1237,1162,1257,2553,2430,2713,2340,2243,2551,2267,2885,2594,3349,2870,3246,3317,2850,3108,2168,1104,766,1473,1054,837,627,1137,849,1489,1465,1088,1171,803,793,667,500,44680,46183,2222,2116,2219,2534,2251,2669,1549,1754,2791,2570,1500,1668,1234,1436,2109,2184,2264,2374,2052,2473,2241,2966,2517,3309,2893,3243,3210,2829,3082,2214,1080,771,1543,1155,780,676,1267,1054,1658,1940,1394,1786,1271,1335,1553,1127
42065,050,42,065,99999,999,,,Jefferson County,45200,22434,45932,22104,45200,45932,22301,22465,1332,1299,1378,1496,1386,1664,906,1121,683,663,248,255,234,261,724,681,1247,1265,1187,1398,1331,1730,1448,1930,1752,1665,1898,1437,1621,1130,559,463,819,644,450,358,589,564,915,857,673,734,483,526,438,324,22899,23467,1261,1243,1277,1423,1348,1580,869,993,624,592,225,226,225,221,715,650,1172,1262,1183,1416,1317,1644,1429,1860,1668,1655,1870,1468,1616,1238,597,453,796,680,474,412,682,677,1023,1205,888,1071,812,748,828,750
42067,050,42,067,99999,999,,,Juniata County,24636,10978,22821,10031,24636,22821,12286,11353,782,744,860,846,840,873,534,490,306,285,132,139,128,142,430,369,668,733,696,762,764,887,829,878,960,810,935,774,816,623,327,202,448,338,287,203,320,259,453,400,348,313,247,166,176,117,12350,11468,777,747,815,746,832,784,473,473,285,263,144,124,115,120,391,373,649,678,663,756,730,852,802,856,908,779,927,734,822,601,254,228,460,341,261,192,335,321,517,497,445,358,363,312,382,333
42071,050,42,071,29540,999,,,Lancaster County,519445,202952,470658,179990,519445,470658,253836,229454,18187,16808,18135,18496,18115,18523,11484,10531,7953,6970,3798,3276,3711,3083,9934,8129,15689,14107,14544,15201,15295,18104,16219,18539,18500,16584,18579,14163,16374,10909,5641,3674,8084,5035,4443,3125,5852,4692,7644,7076,6411,5874,4935,3811,4309,2744,265609,241204,17334,15872,17311,17443,17438,17767,11011,9851,7652,6977,3858,3430,3747,3169,9985,8159,15808,14210,14949,15575,15567,18543,16548,18906,19221,16950,19101,14663,17160,11516,6171,3893,8562,5542,4748,3525,6513,5372,9040,8916,8110,8297,7238,6407,8537,6221
42075,050,42,075,30140,276,,,Lebanon County,133568,55592,120327,49320,133568,120327,65161,58610,4320,3756,4278,4107,4392,4264,2715,2556,1742,1620,836,741,775,690,2220,1904,3679,3567,3660,3935,4152,4612,4387,4748,4917,4423,4833,4087,4557,3092,1662,1029,2368,1452,1209,946,1793,1388,2298,2236,1836,1673,1415,1054,1117,730,68407,61717,4138,3604,4136,3842,4180,4044,2606,2343,1668,1557,853,728,821,716,2228,1915,3779,3497,3749,3930,4072,4652,4356,4760,5014,4439,4965,3957,4663,3386,1751,1128,2367,1550,1415,1012,2057,1659,2599,2719,2363,2420,2122,1897,2505,1962
